id,name,price,stock,image_url,category,description,subcategory
76,Jbl Earpod,"30,000",8,https://m.media-amazon.com/images/I/51Y8jzQuHGL._AC_UY218_.jpg,Electronics,Uk Used Jbl Vibe Beam Earpod Comes With Case And Charger,
77,Anker Earpod,"32,000",3,https://m.media-amazon.com/images/I/51GbU4yIv4L._AC_UY218_.jpg,Electronics,Brand New Anker Soundcore Earpod Comes With Box And All Accessories,
78,Iphone 16 ,,2,,Electronics,Brand New Iphone 16 128gb Comes With Complete Box And Accessories,Mobile Phone
79,Iphone 16 Pro,,2,,Electronics,Brand New Iphone 16 Pro 128gb Comes With Complete Box And Accessories,Mobile Phone
80,Iphone 12,,1,,Electronics,Uk Used Iphone 12 128gb Comes With Free Charger,Mobile Phone
81,Iphone Xr,,7,,Electronics,London Used Iphone Xr 256gb Comes With Free Cord,Mobile Phone
82,Iphone 11,,8,,Electronics,London Used Iphone 11 128gb Comes With Free Cord,Mobile Phone
83,Iphone 8,,5,,Electronics,Used Iphone 8 128gb Mint Condition Comes With Free Cord,Mobile Phone
84,Iphone X,,4,,Electronics,London Used Iphone X 256gb Comes With Free Cord,Mobile Phone
85,Samsung S10,,4,,Electronics,Uk Used Samsung Galaxy S10 256gb,Mobile Phone
86,Samsung S10e,,2,,Electronics,Open Box Samsung Galaxy S10 128gb Comes With Free Samsung Pouch,Mobile Phone
87,Samsung A53,,2,,Electronics,Brand New Samsung Galaxy A53 256gb,Mobile Phone
88,Samsung S25 Ultra,,5,,Electronics,Brand New Samsung Galaxy S25 Ultra 512gb Comes With Complete Box And Accessories,Mobile Phone
89,Samsung S25,,2,,Electronics,Brand New Samsung Galaxy S25 256gb Comes With Complete Box And Accessories,Mobile Phone
90,Samsung S24,,4,,Electronics,Uk Used Samsung Galaxy S24 256gb,Mobile Phone
91,Samsung S24 Ultra,,3,,Electronics,Brand New Samsung Galaxy S24 Ultra 256gb Comes With Complete Box And Accessoriesa,Mobile Phone
92,Iphone 16e,,2,,Electronics,Brand New Iphone 16e Comes With Full Box And Accessories And A Free Oraimo Powerbank,Mobile Phone
93,Pixel 9,,6,,Electronics,Brand New Google Pixel 9 Pro 256gb Comes With Complete Box And Accessories And A Free Pixel Bud Pro,Mobile Phone
94,Oneplus 12,,1,,Electronics,London Used Oneplus 12 256gb Mint Condition,Mobile Phone
95,Infinix Hot 50 Pro,,9,,Electronics,Brand New Infinix Hot 50 Pro 128gb Comes With Complete Box And Accessories,
96,Iphone 16 Pro Max,,,,Electronics,Brand New Iphone 16 Pro Max 256gb Comes With Complete Box And Accessories With Free Airpod Pro 2,Mobile Phone
